session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2012-03-06,201205,LONG,2012-03-06 03:00:00+00:00,2012-03-06 05:00:00+00:00,2012-03-06 07:00:00+00:00,-0.105,33.86,33.905,0.045,45.0,13.8,14285.0,-6899.8
2012-03-07,201205,LONG,2012-03-06 23:00:00+00:00,2012-03-07 01:00:00+00:00,2012-03-07 03:00:00+00:00,-0.12,32.87,32.96,0.09,90.0,58.8,14375.0,-6841.0
2012-03-07,201205,LONG,2012-03-07 03:00:00+00:00,2012-03-07 05:00:00+00:00,2012-03-07 07:00:00+00:00,-0.05,32.91,32.9,-0.01,-10.0,-41.2,14365.0,-6882.2
2012-03-08,201205,LONG,2012-03-07 23:00:00+00:00,2012-03-08 01:00:00+00:00,2012-03-08 03:00:00+00:00,-0.005,33.44,33.53,0.09,90.0,58.8,14455.0,-6823.4
2012-03-08,201205,SHORT,2012-03-08 03:00:00+00:00,2012-03-08 05:00:00+00:00,2012-03-08 07:00:00+00:00,0.005,33.535,33.695,-0.16,-160.0,-191.2,14295.0,-7014.6
2012-03-09,201205,SHORT,2012-03-08 23:00:00+00:00,2012-03-09 01:00:00+00:00,2012-03-09 03:00:00+00:00,0.09,33.93,34.065,-0.135,-135.0,-166.2,14160.0,-7180.8
2012-03-09,201205,LONG,2012-03-09 03:00:00+00:00,2012-03-09 05:00:00+00:00,2012-03-09 07:00:00+00:00,-0.04,34.025,33.935,-0.09,-90.0,-121.2,14070.0,-7302.0
2012-03-12,201205,LONG,2012-03-11 22:00:00+00:00,2012-03-12 00:00:00+00:00,2012-03-12 02:00:00+00:00,-0.06,34.24,34.095,-0.145,-145.0,-176.2,13925.0,-7478.2
2012-03-12,201205,LONG,2012-03-12 02:00:00+00:00,2012-03-12 04:00:00+00:00,2012-03-12 06:00:00+00:00,-0.065,34.03,33.925,-0.105,-105.0,-136.2,13820.0,-7614.4
2012-03-13,201205,LONG,2012-03-12 22:00:00+00:00,2012-03-13 00:00:00+00:00,2012-03-13 02:00:00+00:00,-0.045,33.66,33.795,0.135,135.0,103.8,13955.0,-7510.6
2012-03-13,201205,LONG,2012-03-13 02:00:00+00:00,2012-03-13 04:00:00+00:00,2012-03-13 06:00:00+00:00,-0.025,33.77,33.715,-0.055,-55.0,-86.2,13900.0,-7596.8
2012-03-14,201205,LONG,2012-03-13 22:00:00+00:00,2012-03-14 00:00:00+00:00,2012-03-14 02:00:00+00:00,-0.02,33.38,33.315,-0.065,-65.0,-96.2,13835.0,-7693.0
2012-03-14,201205,SHORT,2012-03-14 02:00:00+00:00,2012-03-14 04:00:00+00:00,2012-03-14 06:00:00+00:00,0.05,33.365,33.115,0.25,250.0,218.8,14085.0,-7474.2
2012-03-15,201205,LONG,2012-03-14 22:00:00+00:00,2012-03-15 00:00:00+00:00,2012-03-15 02:00:00+00:00,-0.035,32.175,32.08,-0.095,-95.0,-126.2,13990.0,-7600.4
2012-03-15,201205,LONG,2012-03-15 02:00:00+00:00,2012-03-15 04:00:00+00:00,2012-03-15 06:00:00+00:00,-0.005,32.075,32.15,0.075,75.0,43.8,14065.0,-7556.6
2012-03-16,201205,LONG,2012-03-15 22:00:00+00:00,2012-03-16 00:00:00+00:00,2012-03-16 02:00:00+00:00,-0.02,32.505,32.71,0.205,205.0,173.8,14270.0,-7382.8
2012-03-16,201205,LONG,2012-03-16 02:00:00+00:00,2012-03-16 04:00:00+00:00,2012-03-16 06:00:00+00:00,-0.105,32.605,32.62,0.015,15.0,-16.2,14285.0,-7399.0
2012-03-19,201205,SHORT,2012-03-18 22:00:00+00:00,2012-03-19 00:00:00+00:00,2012-03-19 02:00:00+00:00,0.07,32.56,32.655,-0.095,-95.0,-126.2,14190.0,-7525.2
2012-03-19,201205,LONG,2012-03-19 02:00:00+00:00,2012-03-19 04:00:00+00:00,2012-03-19 06:00:00+00:00,-0.005,32.65,32.635,-0.015,-15.0,-46.2,14175.0,-7571.4
2012-03-20,201205,LONG,2012-03-19 22:00:00+00:00,2012-03-20 00:00:00+00:00,2012-03-20 02:00:00+00:00,-0.025,32.88,32.745,-0.135,-135.0,-166.2,14040.0,-7737.6
2012-03-20,201205,LONG,2012-03-20 02:00:00+00:00,2012-03-20 04:00:00+00:00,2012-03-20 06:00:00+00:00,-0.05,32.695,32.64,-0.055,-55.0,-86.2,13985.0,-7823.8
2012-03-21,201205,LONG,2012-03-20 22:00:00+00:00,2012-03-21 00:00:00+00:00,2012-03-21 02:00:00+00:00,-0.015,32.115,32.24,0.125,125.0,93.8,14110.0,-7730.0
2012-03-21,201205,LONG,2012-03-21 02:00:00+00:00,2012-03-21 04:00:00+00:00,2012-03-21 06:00:00+00:00,-0.105,32.135,32.125,-0.01,-10.0,-41.2,14100.0,-7771.2
